08:49:26,138272,ILASP,3828524,3.1g,12476,90.0,0.4
08:49:36,138272,ILASP,5073592,4.3g,12476,99.9,0.6
08:49:46,138272,ILASP,6308304,5.5g,12476,99.7,0.7
08:49:56,138272,ILASP,8218156,7.3g,12476,99.8,1.0
08:50:06,138272,ILASP,12.2g,11.6g,12476,99.7,1.5
08:50:16,138272,ILASP,12.5g,12.0g,12476,99.7,1.6
08:50:26,138272,ILASP,12.5g,12.0g,12476,99.7,1.6
08:50:36,138272,ILASP,12.5g,12.0g,12476,99.7,1.6
08:50:46,138272,ILASP,12.5g,12.0g,12476,99.8,1.6
08:50:56,138272,ILASP,12.5g,12.0g,12476,99.7,1.6
08:51:06,138272,ILASP,12.5g,12.0g,12476,99.7,1.6
08:51:16,138272,ILASP,12.5g,12.0g,12476,99.7,1.6
08:51:26,138272,ILASP,12.7g,12.2g,12476,99.7,1.6
08:51:36,138272,ILASP,12.7g,12.2g,12476,99.8,1.6
08:51:46,138272,ILASP,12.7g,12.2g,12476,99.8,1.6
08:51:56,138272,ILASP,12.7g,12.2g,12476,99.8,1.6
08:52:06,138272,ILASP,12.7g,12.2g,12476,99.8,1.6
08:52:16,138272,ILASP,12.7g,12.2g,12476,100.0,1.6
08:52:26,138272,ILASP,12.7g,12.2g,12476,99.7,1.6
08:52:37,138272,ILASP,15.1g,14.5g,12476,99.6,1.9
08:52:47,138272,ILASP,18.8g,18.3g,12476,99.8,2.4
08:52:57,138272,ILASP,20.1g,19.5g,12476,99.7,2.6
08:53:07,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:53:17,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:53:27,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:53:37,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:53:47,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:53:57,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
08:54:07,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:54:17,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:54:27,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:54:37,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:54:47,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:54:57,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:55:07,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:55:17,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:55:27,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:55:37,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:55:47,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:55:57,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:56:07,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:56:17,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:56:27,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
08:56:37,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:56:47,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:56:57,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:57:07,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:57:17,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:57:27,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:57:37,138272,ILASP,19.9g,19.4g,12476,99.6,2.6
08:57:47,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:57:57,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:58:07,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:58:17,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:58:27,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:58:37,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:58:47,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:58:57,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:59:07,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:59:17,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
08:59:27,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:59:37,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:59:47,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
08:59:57,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:00:07,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
09:00:17,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:00:27,138272,ILASP,19.9g,19.4g,12476,99.7,2.6
09:00:37,138272,ILASP,19.9g,19.4g,12476,99.8,2.6
