carbons,naive_1,naive_2,naive_3,naive_4,naive_5,canonical_1,canonical_2,canonical_3,canonical_4,canonical_5,breakid_1,breakid_2,breakid_3,breakid_4,breakid_5,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,molgen_1,molgen_2,molgen_3,molgen_4,molgen_5
1,0.002,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.02,0.018,0.018,0.018,0.019,0.336,0.333,0.34,0.321,0.323
2,0.003,0.003,0.002,0.002,0.002,0.004,0.004,0.003,0.003,0.003,0.001,0.001,0.001,0.001,0.001,0.018,0.019,0.018,0.019,0.018,0.322,0.316,0.306,0.328,0.332
3,0.004,0.004,0.004,0.004,0.004,0.006,0.004,0.006,0.004,0.004,0.004,0.003,0.003,0.003,0.003,0.019,0.019,0.019,0.019,0.019,0.313,0.315,0.372,0.376,0.39
4,0.013,0.01,0.013,0.013,0.013,0.008,0.008,0.008,0.008,0.008,0.016,0.015,0.015,0.017,0.015,0.021,0.021,0.021,0.02,0.021,0.403,0.338,0.384,0.368,0.358
5,0.106,0.112,0.111,0.113,0.124,0.015,0.017,0.017,0.019,0.017,0.154,0.176,0.157,0.143,0.159,0.022,0.022,0.022,0.022,0.022,0.374,0.454,0.367,0.351,0.405
6,1.917,2.011,1.942,2.024,1.973,0.052,0.057,0.063,0.064,0.058,2.897,2.9,2.987,2.898,2.775,0.027,0.029,0.028,0.029,0.027,0.361,0.428,0.365,0.433,0.437
7,47.086,45.431,47.246,46.598,46.98,0.248,0.247,0.236,0.234,0.264,278.585,238.043,184.448,173.782,256.026,0.041,0.039,0.039,0.043,0.043,0.522,0.463,0.506,0.395,0.374
8,None,None,None,None,None,1.241,1.249,1.199,1.215,1.23,None,None,None,None,None,0.062,0.063,0.066,0.066,0.065,0.435,0.439,0.544,0.467,0.522
9,None,None,None,None,None,7.878,7.082,7.638,6.846,7.046,None,None,None,None,None,0.135,0.13,0.128,0.13,0.133,0.563,0.481,0.452,0.507,0.527
10,None,None,None,None,None,44.58,46.959,43.972,48.878,44.758,None,None,None,None,None,0.295,0.289,0.247,0.246,0.275,0.533,0.574,0.55,0.612,0.59
11,None,None,None,None,None,382.821,306.963,336.115,315.058,329.385,None,None,None,None,None,0.701,0.692,0.635,0.697,0.748,0.68,0.669,0.625,0.678,0.627
12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.53,1.67,1.709,1.555,1.497,0.871,0.864,0.804,0.804,0.821
13,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4.435,4.421,4.948,4.084,4.236,1.066,1.108,1.08,1.151,1.175
14,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,11.484,11.442,11.649,11.644,12.061,1.624,1.7,1.671,1.685,1.625
15,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,38.509,34.842,32.488,30.197,32.326,2.796,2.844,2.86,2.872,2.824
16,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,101.032,88.732,98.795,100.458,104.242,6.577,6.681,6.611,6.612,6.666
17,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,301.39,304.322,315.001,291.558,309.604,16.138,16.082,16.119,16.174,16.136
18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,934.025,916.424,889.841,895.987,914.138,41.984,41.912,42.034,42.004,42.201
